cntyNUM,obs,cf1GRRT_WB,cf2GRRT_WB,cf3GRRT_WB,cf4GRRT_WB,cf5GRRT_WB,cf6GRRT_WB,cf7GRRT_WB,cf8GRRT_WB,cf9GRRT_WB,cf10GRRT_WB,CRISIS,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS,l1GRRT_WB,l2GRRT_WB,l3GRRT_WB,l4GRRT_WB
1,1960,,,,,,,,,,,,,,,,,,,
1,1961,,,,,,,,,,,,,,,,,,,
1,1962,,,,,,,,,,,,,,,,,,,
1,1963,,,,,,,,,,,,,,,,,,,
1,1964,,,,,,,,,,,,,,,,,,,
1,1965,,,,,,,,,,,,,,,,,,,
1,1966,,,,,,,,,,,,,,,,,,,
1,1967,,,,,,,,,,,,,,,,,,,
1,1968,,,,,,,,,,,,,,,,,,,
1,1969,,,,,,,,,,,,,,,,,,,
1,1970,,,,,,,,,,,,,,,,,,,
1,1971,,,,,,,,,,,,,,,,,,,
1,1972,,,,,,,,,,,,,,,,,,,
1,1973,,,,,,,,,,,,,,,,,,,
1,1974,,,,,,,,,,,,,,,,,,,
1,1975,,,,,,,,,,,,,,,,,,,
1,1976,,,,,,,,,,,,,,,,,,,
1,1977,,,,,,,,,,,,,,,,,,,
1,1978,,,,,,,,,,,,,,,,,,,
1,1979,,,,,,,,,,,,,,,,,,,
1,1980,,,,,,,,,,,,,,,,,,,
1,1981,,,,,,,,,,,,,,,,,,,
1,1982,,,,,,,,,,,,,,,,,,,
1,1983,,,,,,,,,,,,,,,,,,,
1,1984,,,,,,,,,,,,,,,,,,,
1,1985,,,,,,,,,,,,,,,,,,,
1,1986,,,,,,,,,,,,,,,,,,,
1,1987,,,,,,,,,,,0,,,,,,,,
1,1988,25.99852479583626,38.00129409395016,42.00174108490886,45.99936559936721,49.99895232343567,55.99955248305259,,,,,0,0,,,,,,,
1,1989,21.00338119754566,25.00382818850435,29.0014527029627,33.00103942703116,39.00163958664808,,,,,,0,0,0,,,16.9979128964045,,,
1,1990,16.00321628907259,20.00084080353094,24.0004275275994,30.00102768721632,,,,,,,0,0,0,0,,9.00061189943176,16.9979128964045,,
1,1991,7.998071505417041,11.9976582294855,17.99825838910242,,,,,,,,0,0,0,0,0,12.0027692981139,9.00061189943176,16.9979128964045,
1,1992,7.997211238526811,13.99781139814373,,,,,,,,,0,0,0,0,0,4.00044699095869,12.0027692981139,9.00061189943176,16.9979128964045
1,1993,10.00018688368538,,,,,,,,,,0,0,0,0,0,3.99762451445835,4.00044699095869,12.0027692981139,9.00061189943176
1,1994,,,,,,,,,,,0,0,0,0,0,3.99958672406846,3.99762451445835,4.00044699095869,12.0027692981139
1,1995,,,,,,,,,,,0,0,0,0,0,6.00060015961692,3.99958672406846,3.99762451445835,4.00044699095869
